[Info]
length_unit = µm
time_unit = µs
fov = 3.999998246574961, 3.990000000000009
center = (122.99999912328748, 456.005)
base_dwell_time = None
total_dwell_time = 221360000.0
number_of_points = 44272
description = an optional description for yourself
time_stamp = 2023-03-22 16:42:43.142372

[Points]
121.00000 458.00000 5000
121.00094 457.99965 5000
121.00187 457.99930 5000
121.00281 457.99895 5000
121.00375 457.99860 5000
121.00468 457.99824 5000
121.00562 457.99789 5000
121.00655 457.99754 5000
121.00749 457.99719 5000
121.00843 457.99684 5000
121.00936 457.99649 5000
121.01030 457.99614 5000
121.01124 457.99579 5000
121.01217 457.99544 5000
121.01311 457.99508 5000
121.01404 457.99473 5000
121.01498 457.99438 5000
121.01592 457.99403 5000
121.01685 457.99368 5000
121.01779 457.99333 5000
121.01873 457.99298 5000
121.01966 457.99263 5000
121.02060 457.99228 5000
121.02154 457.99192 5000
121.02247 457.99157 5000
121.02341 457.99122 5000
121.02434 457.99087 5000
121.02528 457.99052 5000
121.02622 457.99017 5000
121.02715 457.98982 5000
121.02809 457.98947 5000
121.02903 457.98912 5000
121.02996 457.98876 5000
121.03090 457.98841 5000
121.03184 457.98806 5000
121.03277 457.98771 5000
121.03371 457.98736 5000
121.03464 457.98701 5000
121.03558 457.98666 5000
121.03652 457.98631 5000
121.03745 457.98596 5000
121.03839 457.98560 5000
121.03933 457.98525 5000
121.04026 457.98490 5000
121.04120 457.98455 5000
121.04213 457.98420 5000
121.04307 457.98385 5000
121.04401 457.98350 5000
121.04494 457.98315 5000
121.04588 457.98279 5000
121.04682 457.98244 5000
121.04775 457.98209 5000
121.04869 457.98174 5000
121.04963 457.98139 5000
121.05056 457.98104 5000
121.05150 457.98069 5000
121.05243 457.98034 5000
121.05337 457.97999 5000
121.05431 457.97963 5000
121.05524 457.97928 5000
121.05618 457.97893 5000
121.05712 457.97858 5000
121.05805 457.97823 5000
121.05899 457.97788 5000
121.05993 457.97753 5000
121.06086 457.97718 5000
121.06180 457.97683 5000
121.06273 457.97647 5000
121.06367 457.97612 5000
121.06461 457.97577 5000
121.06554 457.97542 5000
121.06648 457.97507 5000
121.06742 457.97472 5000
121.06835 457.97437 5000
121.06929 457.97402 5000
121.07022 457.97367 5000
121.07116 457.97331 5000
121.07210 457.97296 5000
121.07303 457.97261 5000
121.07397 457.97226 5000
121.07491 457.97191 5000
121.07584 457.97156 5000
121.07678 457.97121 5000
121.07772 457.97086 5000
121.07865 457.97051 5000
121.07959 457.97015 5000
121.08052 457.96980 5000
121.08146 457.96945 5000
121.08240 457.96910 5000
121.08333 457.96875 5000
121.08427 457.96840 5000
121.08521 457.96805 5000
121.08614 457.96770 5000
121.08708 457.96735 5000
121.08801 457.96699 5000
121.08895 457.96664 5000
121.08989 457.96629 5000
121.09082 457.96594 5000
121.09176 457.96559 5000
121.09270 457.96524 5000
121.09363 457.96489 5000
121.09457 457.96454 5000
121.09551 457.96419 5000
121.09644 457.96383 5000
121.09738 457.96348 5000
121.09831 457.96313 5000
121.09925 457.96278 5000
121.10019 457.96243 5000
121.10112 457.96208 5000
121.10206 457.96173 5000
121.10300 457.96138 5000
121.10393 457.96103 5000
121.10487 457.96067 5000
121.10581 457.96032 5000
121.10674 457.95997 5000
121.10768 457.95962 5000
121.10861 457.95927 5000
121.10955 457.95892 5000
121.11049 457.95857 5000
121.11142 457.95822 5000
121.11236 457.95787 5000
121.11330 457.95751 5000
121.11423 457.95716 5000
121.11517 457.95681 5000
121.11610 457.95646 5000
121.11704 457.95611 5000
121.11798 457.95576 5000
121.11891 457.95541 5000
121.11985 457.95506 5000
121.12079 457.95471 5000
121.12172 457.95435 5000
121.12266 457.95400 5000
121.12360 457.95365 5000
121.12453 457.95330 5000
121.12547 457.95295 5000
121.12640 457.95260 5000
121.12734 457.95225 5000
121.12828 457.95190 5000
121.12921 457.95154 5000
121.13015 457.95119 5000
121.13109 457.95084 5000
121.13202 457.95049 5000
121.13296 457.95014 5000
121.13390 457.94979 5000
121.13483 457.94944 5000
121.13577 457.94909 5000
121.13670 457.94874 5000
121.13764 457.94838 5000
121.13858 457.94803 5000
121.13951 457.94768 5000
121.14045 457.94733 5000
121.14139 457.94698 5000
121.14232 457.94663 5000
121.14326 457.94628 5000
121.14419 457.94593 5000
121.14513 457.94558 5000
121.14607 457.94522 5000
121.14700 457.94487 5000
121.14794 457.94452 5000
121.14888 457.94417 5000
121.14981 457.94382 5000
121.15075 457.94347 5000
121.15169 457.94312 5000
121.15262 457.94277 5000
121.15356 457.94242 5000
121.15449 457.94206 5000
121.15543 457.94171 5000
121.15637 457.94136 5000
121.15730 457.94101 5000
121.15824 457.94066 5000
121.15918 457.94031 5000
121.16011 457.93996 5000
121.16105 457.93961 5000
121.16198 457.93926 5000
121.16292 457.93890 5000
121.16386 457.93855 5000
121.16479 457.93820 5000
121.16573 457.93785 5000
121.16667 457.93750 5000
121.16760 457.93715 5000
121.16854 457.93680 5000
121.16948 457.93645 5000
121.17041 457.93610 5000
121.17135 457.93574 5000
121.17228 457.93539 5000
121.17322 457.93504 5000
121.17416 457.93469 5000
121.17509 457.93434 5000
121.17603 457.93399 5000
121.17697 457.93364 5000
121.17790 457.93329 5000
121.17884 457.93294 5000
121.17978 457.93258 5000
121.18071 457.93223 5000
121.18165 457.93188 5000
121.18258 457.93153 5000
121.18352 457.93118 5000
121.18446 457.93083 5000
121.18539 457.93048 5000
121.18633 457.93013 5000
121.18727 457.92978 5000
121.18820 457.92942 5000
121.18914 457.92907 5000
121.19007 457.92872 5000
121.19101 457.92837 5000
121.19195 457.92802 5000
121.19288 457.92767 5000
121.19382 457.92732 5000
121.19476 457.92697 5000
121.19569 457.92662 5000
121.19663 457.92626 5000
121.19757 457.92591 5000
121.19850 457.92556 5000
121.19944 457.92521 5000
121.20037 457.92486 5000
121.20131 457.92451 5000
121.20225 457.92416 5000
121.20318 457.92381 5000
121.20412 457.92346 5000
121.20506 457.92310 5000
121.20599 457.92275 5000
121.20693 457.92240 5000
121.20787 457.92205 5000
121.20880 457.92170 5000
121.20974 457.92135 5000
121.21067 457.92100 5000
121.21161 457.92065 5000
121.21255 457.92029 5000
121.21348 457.91994 5000
121.21442 457.91959 5000
121.21536 457.91924 5000
121.21629 457.91889 5000
121.21723 457.91854 5000
121.21816 457.91819 5000
121.21910 457.91784 5000
121.22004 457.91749 5000
121.22097 457.91713 5000
121.22191 457.91678 5000
121.22285 457.91643 5000
121.22378 457.91608 5000
121.22472 457.91573 5000
121.22566 457.91538 5000
121.22659 457.91503 5000
121.22753 457.91468 5000
121.22846 457.91433 5000
121.22940 457.91397 5000
121.23034 457.91362 5000
121.23127 457.91327 5000
121.23221 457.91292 5000
121.23315 457.91257 5000
121.23408 457.91222 5000
121.23502 457.91187 5000
121.23595 457.91152 5000
121.23689 457.91117 5000
121.23783 457.91081 5000
121.23876 457.91046 5000
121.23970 457.91011 5000
121.24064 457.90976 5000
121.24157 457.90941 5000
121.24251 457.90906 5000
121.24345 457.90871 5000
121.24438 457.90836 5000
121.24532 457.90801 5000
121.24625 457.90765 5000
121.24719 457.90730 5000
121.24813 457.90695 5000
121.24906 457.90660 5000
121.25000 457.90625 5000
121.25094 457.90590 5000
121.25187 457.90555 5000
121.25281 457.90520 5000
121.25375 457.90485 5000
121.25468 457.90449 5000
121.25562 457.90414 5000
121.25655 457.90379 5000
121.25749 457.90344 5000
121.25843 457.90309 5000
121.25936 457.90274 5000
121.26030 457.90239 5000
121.26124 457.90204 5000
121.26217 457.90169 5000
121.26311 457.90133 5000
121.26404 457.90098 5000
121.26498 457.90063 5000
121.26592 457.90028 5000
121.26685 457.89993 5000
121.26779 457.89958 5000
121.26873 457.89923 5000
121.26966 457.89888 5000
121.27060 457.89853 5000
121.27154 457.89817 5000
121.27247 457.89782 5000
121.27341 457.89747 5000
121.27434 457.89712 5000
121.27528 457.89677 5000
121.27622 457.89642 5000
121.27715 457.89607 5000
121.27809 457.89572 5000
121.27903 457.89537 5000
121.27996 457.89501 5000
121.28090 457.89466 5000
121.28184 457.89431 5000
121.28277 457.89396 5000
121.28371 457.89361 5000
121.28464 457.89326 5000
121.28558 457.89291 5000
121.28652 457.89256 5000
121.28745 457.89221 5000
121.28839 457.89185 5000
121.28933 457.89150 5000
121.29026 457.89115 5000
121.29120 457.89080 5000
121.29213 457.89045 5000
121.29307 457.89010 5000
121.29401 457.88975 5000
121.29494 457.88940 5000
121.29588 457.88904 5000
121.29682 457.88869 5000
121.29775 457.88834 5000
121.29869 457.88799 5000
121.29963 457.88764 5000
121.30056 457.88729 5000
121.30150 457.88694 5000
121.30243 457.88659 5000
121.30337 457.88624 5000
121.30431 457.88588 5000
121.30524 457.88553 5000
121.30618 457.88518 5000
121.30712 457.88483 5000
121.30805 457.88448 5000
121.30899 457.88413 5000
121.30992 457.88378 5000
121.31086 457.88343 5000
121.31180 457.88308 5000
121.31273 457.88272 5000
121.31367 457.88237 5000
121.31461 457.88202 5000
121.31554 457.88167 5000
121.31648 457.88132 5000
121.31742 457.88097 5000
121.31835 457.88062 5000
121.31929 457.88027 5000
121.32022 457.87992 5000
121.32116 457.87956 5000
121.32210 457.87921 5000
121.32303 457.87886 5000
121.32397 457.87851 5000
121.32491 457.87816 5000
121.32584 457.87781 5000
121.32678 457.87746 5000
121.32772 457.87711 5000
121.32865 457.87676 5000
121.32959 457.87640 5000
121.33052 457.87605 5000
121.33146 457.87570 5000
121.33240 457.87535 5000
121.33333 457.87500 5000
121.33427 457.87465 5000
121.33521 457.87430 5000
121.33614 457.87395 5000
121.33708 457.87360 5000
121.33801 457.87324 5000
121.33895 457.87289 5000
121.33989 457.87254 5000
121.34082 457.87219 5000
121.34176 457.87184 5000
121.34270 457.87149 5000
121.34363 457.87114 5000
121.34457 457.87079 5000
121.34551 457.87044 5000
121.34644 457.87008 5000
121.34738 457.86973 5000
121.34831 457.86938 5000
121.34925 457.86903 5000
121.35019 457.86868 5000
121.35112 457.86833 5000
121.35206 457.86798 5000
121.35300 457.86763 5000
121.35393 457.86728 5000
121.35487 457.86692 5000
121.35581 457.86657 5000
121.35674 457.86622 5000
121.35768 457.86587 5000
121.35861 457.86552 5000
121.35955 457.86517 5000
121.36049 457.86482 5000
121.36142 457.86447 5000
121.36236 457.86412 5000
121.36330 457.86376 5000
121.36423 457.86341 5000
121.36517 457.86306 5000
121.36610 457.86271 5000
121.36704 457.86236 5000
121.36798 457.86201 5000
121.36891 457.86166 5000
121.36985 457.86131 5000
121.37079 457.86096 5000
121.37172 457.86060 5000
121.37266 457.86025 5000
121.37360 457.85990 5000
121.37453 457.85955 5000
121.37547 457.85920 5000
121.37640 457.85885 5000
121.37734 457.85850 5000
121.37828 457.85815 5000
121.37921 457.85780 5000
121.38015 457.85744 5000
121.38109 457.85709 5000
121.38202 457.85674 5000
121.38296 457.85639 5000
121.38389 457.85604 5000
121.38483 457.85569 5000
121.38577 457.85534 5000
121.38670 457.85499 5000
121.38764 457.85463 5000
121.38858 457.85428 5000
121.38951 457.85393 5000
121.39045 457.85358 5000
121.39139 457.85323 5000
121.39232 457.85288 5000
121.39326 457.85253 5000
121.39419 457.85218 5000
121.39513 457.85183 5000
121.39607 457.85147 5000
121.39700 457.85112 5000
121.39794 457.85077 5000
121.39888 457.85042 5000
121.39981 457.85007 5000
121.40075 457.84972 5000
121.40169 457.84937 5000
121.40262 457.84902 5000
121.40356 457.84867 5000
121.40449 457.84831 5000
121.40543 457.84796 5000
121.40637 457.84761 5000
121.40730 457.84726 5000
121.40824 457.84691 5000
121.40918 457.84656 5000
121.41011 457.84621 5000
121.41105 457.84586 5000
121.41198 457.84551 5000
121.41292 457.84515 5000
121.41386 457.84480 5000
121.41479 457.84445 5000
121.41573 457.84410 5000
121.41667 457.84375 5000
121.41760 457.84340 5000
121.41854 457.84305 5000
121.41948 457.84270 5000
121.42041 457.84235 5000
121.42135 457.84199 5000
121.42228 457.84164 5000
121.42322 457.84129 5000
121.42416 457.84094 5000
121.42509 457.84059 5000
121.42603 457.84024 5000
121.42697 457.83989 5000
121.42790 457.83954 5000
121.42884 457.83919 5000
121.42978 457.83883 5000
121.43071 457.83848 5000
121.43165 457.83813 5000
121.43258 457.83778 5000
121.43352 457.83743 5000
121.43446 457.83708 5000
121.43539 457.83673 5000
121.43633 457.83638 5000
121.43727 457.83603 5000
121.43820 457.83567 5000
121.43914 457.83532 5000
121.44007 457.83497 5000
121.44101 457.83462 5000
121.44195 457.83427 5000
121.44288 457.83392 5000
121.44382 457.83357 5000
121.44476 457.83322 5000
121.44569 457.83287 5000
121.44663 457.83251 5000
121.44757 457.83216 5000
121.44850 457.83181 5000
121.44944 457.83146 5000
121.45037 457.83111 5000
121.45131 457.83076 5000
121.45225 457.83041 5000
121.45318 457.83006 5000
121.45412 457.82971 5000
121.45506 457.82935 5000
121.45599 457.82900 5000
121.45693 457.82865 5000
121.45786 457.82830 5000
121.45880 457.82795 5000
121.45974 457.82760 5000
121.46067 457.82725 5000
121.46161 457.82690 5000
121.46255 457.82655 5000
121.46348 457.82619 5000
121.46442 457.82584 5000
121.46536 457.82549 5000
121.46629 457.82514 5000
121.46723 457.82479 5000
121.46816 457.82444 5000
121.46910 457.82409 5000
121.47004 457.82374 5000
121.47097 457.82338 5000
121.47191 457.82303 5000
121.47285 457.82268 5000
121.47378 457.82233 5000
121.47472 457.82198 5000
121.47566 457.82163 5000
121.47659 457.82128 5000
121.47753 457.82093 5000
121.47846 457.82058 5000
121.47940 457.82022 5000
121.48034 457.81987 5000
121.48127 457.81952 5000
121.48221 457.81917 5000
121.48315 457.81882 5000
121.48408 457.81847 5000
121.48502 457.81812 5000
121.48595 457.81777 5000
121.48689 457.81742 5000
121.48783 457.81706 5000
121.48876 457.81671 5000
121.48970 457.81636 5000
121.49064 457.81601 5000
121.49157 457.81566 5000
121.49251 457.81531 5000
121.49345 457.81496 5000
121.49438 457.81461 5000
121.49532 457.81426 5000
121.49625 457.81390 5000
121.49719 457.81355 5000
121.49813 457.81320 5000
121.49906 457.81285 5000
121.50000 457.81250 5000
121.50094 457.81215 5000
121.50187 457.81180 5000
121.50281 457.81145 5000
121.50375 457.81110 5000
121.50468 457.81074 5000
121.50562 457.81039 5000
121.50655 457.81004 5000
121.50749 457.80969 5000
121.50843 457.80934 5000
121.50936 457.80899 5000
121.51030 457.80864 5000
121.51124 457.80829 5000
121.51217 457.80794 5000
121.51311 457.80758 5000
121.51404 457.80723 5000
121.51498 457.80688 5000
121.51592 457.80653 5000
121.51685 457.80618 5000
121.51779 457.80583 5000
121.51873 457.80548 5000
121.51966 457.80513 5000
121.52060 457.80478 5000
121.52154 457.80442 5000
121.52247 457.80407 5000
121.52341 457.80372 5000
121.52434 457.80337 5000
121.52528 457.80302 5000
121.52622 457.80267 5000
121.52715 457.80232 5000
121.52809 457.80197 5000
121.52903 457.80162 5000
121.52996 457.80126 5000
121.53090 457.80091 5000
121.53183 457.80056 5000
121.53277 457.80021 5000
121.53371 457.79986 5000
121.53464 457.79951 5000
121.53558 457.79916 5000
121.53652 457.79881 5000
121.53745 457.79846 5000
121.53839 457.79810 5000
121.53933 457.79775 5000
121.54026 457.79740 5000
121.54120 457.79705 5000
121.54213 457.79670 5000
121.54307 457.79635 5000
121.54401 457.79600 5000
121.54494 457.79565 5000
121.54588 457.79530 5000
121.54682 457.79494 5000
121.54775 457.79459 5000
121.54869 457.79424 5000
121.54963 457.79389 5000
121.55056 457.79354 5000
121.55150 457.79319 5000
121.55243 457.79284 5000
121.55337 457.79249 5000
121.55431 457.79213 5000
121.55524 457.79178 5000
121.55618 457.79143 5000
121.55712 457.79108 5000
121.55805 457.79073 5000
121.55899 457.79038 5000
121.55992 457.79003 5000
121.56086 457.78968 5000
121.56180 457.78933 5000
121.56273 457.78897 5000
121.56367 457.78862 5000
121.56461 457.78827 5000
121.56554 457.78792 5000
121.56648 457.78757 5000
121.56742 457.78722 5000
121.56835 457.78687 5000
121.56929 457.78652 5000
121.57022 457.78617 5000
121.57116 457.78581 5000
121.57210 457.78546 5000
121.57303 457.78511 5000
121.57397 457.78476 5000
121.57491 457.78441 5000
121.57584 457.78406 5000
121.57678 457.78371 5000
121.57772 457.78336 5000
121.57865 457.78301 5000
121.57959 457.78265 5000
121.58052 457.78230 5000
121.58146 457.78195 5000
121.58240 457.78160 5000
121.58333 457.78125 5000
121.58427 457.78090 5000
121.58521 457.78055 5000
121.58614 457.78020 5000
121.58708 457.77985 5000
121.58801 457.77949 5000
121.58895 457.77914 5000
121.58989 457.77879 5000
121.59082 457.77844 5000
121.59176 457.77809 5000
121.59270 457.77774 5000
121.59363 457.77739 5000
121.59457 457.77704 5000
121.59551 457.77669 5000
121.59644 457.77633 5000
121.59738 457.77598 5000
121.59831 457.77563 5000
121.59925 457.77528 5000
121.60019 457.77493 5000
121.60112 457.77458 5000
121.60206 457.77423 5000
121.60300 457.77388 5000
121.60393 457.77353 5000
121.60487 457.77317 5000
121.60580 457.77282 5000
121.60674 457.77247 5000
121.60768 457.77212 5000
121.60861 457.77177 5000
121.60955 457.77142 5000
121.61049 457.77107 5000
121.61142 457.77072 5000
121.61236 457.77037 5000
121.61330 457.77001 5000
121.61423 457.76966 5000
121.61517 457.76931 5000
121.61610 457.76896 5000
121.61704 457.76861 5000
121.61798 457.76826 5000
121.61891 457.76791 5000
121.61985 457.76756 5000
121.62079 457.76721 5000
121.62172 457.76685 5000
121.62266 457.76650 5000
121.62360 457.76615 5000
121.62453 457.76580 5000
121.62547 457.76545 5000
121.62640 457.76510 5000
121.62734 457.76475 5000
121.62828 457.76440 5000
121.62921 457.76405 5000
121.63015 457.76369 5000
121.63109 457.76334 5000
121.63202 457.76299 5000
121.63296 457.76264 5000
121.63389 457.76229 5000
121.63483 457.76194 5000
121.63577 457.76159 5000
121.63670 457.76124 5000
121.63764 457.76088 5000
121.63858 457.76053 5000
121.63951 457.76018 5000
121.64045 457.75983 5000
121.64139 457.75948 5000
121.64232 457.75913 5000
121.64326 457.75878 5000
121.64419 457.75843 5000
121.64513 457.75808 5000
121.64607 457.75772 5000
121.64700 457.75737 5000
121.64794 457.75702 5000
121.64888 457.75667 5000
121.64981 457.75632 5000
121.65075 457.75597 5000
121.65169 457.75562 5000
121.65262 457.75527 5000
121.65356 457.75492 5000
121.65449 457.75456 5000
121.65543 457.75421 5000
121.65637 457.75386 5000
121.65730 457.75351 5000
121.65824 457.75316 5000
121.65918 457.75281 5000
121.66011 457.75246 5000
121.66105 457.75211 5000
121.66198 457.75176 5000
121.66292 457.75140 5000
121.66386 457.75105 5000
121.66479 457.75070 5000
121.66573 457.75035 5000
121.66667 457.75000 5000
121.66760 457.74965 5000
121.66854 457.74930 5000
121.66948 457.74895 5000
121.67041 457.74860 5000
121.67135 457.74824 5000
121.67228 457.74789 5000
121.67322 457.74754 5000
121.67416 457.74719 5000
121.67509 457.74684 5000
121.67603 457.74649 5000
121.67697 457.74614 5000
121.67790 457.74579 5000
121.67884 457.74544 5000
121.67977 457.74508 5000
121.68071 457.74473 5000
121.68165 457.74438 5000
121.68258 457.74403 5000
121.68352 457.74368 5000
121.68446 457.74333 5000
121.68539 457.74298 5000
121.68633 457.74263 5000
121.68727 457.74228 5000
121.68820 457.74192 5000
121.68914 457.74157 5000
121.69007 457.74122 5000
121.69101 457.74087 5000
121.69195 457.74052 5000
121.69288 457.74017 5000
121.69382 457.73982 5000
121.69476 457.73947 5000
